date,asset,region,close
2016-01-31,SPY_US,US,101.41415123926329
2016-02-29,SPY_US,US,98.7571488323585
2016-03-31,SPY_US,US,101.47430718959069
2016-04-30,SPY_US,US,104.84497331442182
2016-05-31,SPY_US,US,99.23251121229664
2016-06-30,SPY_US,US,95.85211749290399
2016-07-31,SPY_US,US,96.69899128071043
2016-08-31,SPY_US,US,96.26507604672535
2016-09-30,SPY_US,US,96.69788048581427
2016-10-31,SPY_US,US,94.70674369551355
2016-11-30,SPY_US,US,97.67882497234176
2016-12-31,SPY_US,US,100.44643316697336
2017-01-31,SPY_US,US,101.14764177429478
2017-02-28,SPY_US,US,105.07391367703505
2017-03-31,SPY_US,US,107.07297433355019
2017-04-30,SPY_US,US,104.84812921051862
2017-05-31,SPY_US,US,106.53225475225008
2017-06-30,SPY_US,US,104.00035826074088
2017-07-31,SPY_US,US,107.26113443355094
2017-08-31,SPY_US,US,107.63678681021828
2017-09-30,SPY_US,US,107.57803101984476
2017-10-31,SPY_US,US,105.9183293854375
2017-11-30,SPY_US,US,110.33260711827437
2017-12-31,SPY_US,US,110.37278093486711
2018-01-31,SPY_US,US,109.50637285302393
2018-02-28,SPY_US,US,108.89707868107436
2018-03-31,SPY_US,US,111.18057153233558
2018-04-30,SPY_US,US,112.95538278817018
2018-05-31,SPY_US,US,114.91877080607063
2018-06-30,SPY_US,US,116.97864726319412
2018-07-31,SPY_US,US,125.07935167743882
2018-08-31,SPY_US,US,124.1797246329851
2018-09-30,SPY_US,US,122.89231842490946
2018-10-31,SPY_US,US,120.50658749967364
2018-11-30,SPY_US,US,123.33600778270977
2018-12-31,SPY_US,US,128.12997588606794
2019-01-31,SPY_US,US,128.33262321545033
2019-02-28,SPY_US,US,125.73970179352602
2019-03-31,SPY_US,US,123.25829963663226
2019-04-30,SPY_US,US,126.28031995830928
2019-05-31,SPY_US,US,129.72747279459838
2019-06-30,SPY_US,US,132.48997107551634
2019-07-31,SPY_US,US,130.5072200748193
2019-08-31,SPY_US,US,132.06871804166326
2019-09-30,SPY_US,US,133.19137798867771
2019-10-31,SPY_US,US,134.7311579450835
2019-11-30,SPY_US,US,138.92707198439777
2019-12-31,SPY_US,US,140.5536115913201
2020-01-31,SPY_US,US,144.11909224671928
2020-02-29,SPY_US,US,145.13187073244137
2020-03-31,SPY_US,US,147.11634326201107
2020-04-30,SPY_US,US,150.63810943821295
2020-05-31,SPY_US,US,144.8062040496056
2020-06-30,SPY_US,US,144.14152380831501
2020-07-31,SPY_US,US,142.82822449293084
2020-08-31,SPY_US,US,140.8048719534217
2020-09-30,SPY_US,US,140.34665522960032
2020-10-31,SPY_US,US,147.34268888963732
2020-11-30,SPY_US,US,144.2521857927688
2020-12-31,SPY_US,US,149.16373479490207
2021-01-31,SPY_US,US,142.37885925964687
2021-02-28,SPY_US,US,141.66033709936988
2021-03-31,SPY_US,US,143.06030840686864
2021-04-30,SPY_US,US,146.29156437448057
2021-05-31,SPY_US,US,150.14441566583122
2021-06-30,SPY_US,US,154.4686374556362
2021-07-31,SPY_US,US,153.62496804020935
2021-08-31,SPY_US,US,152.26222949926756
2021-09-30,SPY_US,US,156.94266026286826
2021-10-31,SPY_US,US,156.82665927418125
2021-11-30,SPY_US,US,151.60894383942667
2021-12-31,SPY_US,US,147.21249423117
2022-01-31,SPY_US,US,143.88791077186042
2022-02-28,SPY_US,US,146.7534129491101
2022-03-31,SPY_US,US,148.11422389965998
2022-04-30,SPY_US,US,151.92291608911316
2022-05-31,SPY_US,US,150.73524663141166
2022-06-30,SPY_US,US,152.2058484476282
2022-07-31,SPY_US,US,155.82343319070085
2022-08-31,SPY_US,US,155.15644716070824
2022-09-30,SPY_US,US,158.05837808682367
2022-10-31,SPY_US,US,155.70998175750012
2022-11-30,SPY_US,US,154.79259843151846
2022-12-31,SPY_US,US,153.79385540772276
2023-01-31,SPY_US,US,149.0454409984251
2023-02-28,SPY_US,US,151.96809904800074
2023-03-31,SPY_US,US,150.58791410336198
2023-04-30,SPY_US,US,151.39729757221167
2023-05-31,SPY_US,US,154.33779640932946
2023-06-30,SPY_US,US,157.17698452347193
2023-07-31,SPY_US,US,161.10036619534424
2023-08-31,SPY_US,US,161.4298865977391
2023-09-30,SPY_US,US,160.18704607541875
2023-10-31,SPY_US,US,160.6048865640904
2023-11-30,SPY_US,US,153.27808633606548
2023-12-31,SPY_US,US,147.3901578531639
2024-01-31,SPY_US,US,142.27852150271272
2024-02-29,SPY_US,US,138.73330998409398
2024-03-31,SPY_US,US,141.09083658560465
2024-04-30,SPY_US,US,137.96364684558787
2024-05-31,SPY_US,US,137.08828452814433
2024-06-30,SPY_US,US,143.11699530740242
2024-07-31,SPY_US,US,142.30295741170158
2024-08-31,SPY_US,US,146.16299159466126
2024-09-30,SPY_US,US,142.79999595915726
2024-10-31,SPY_US,US,142.6339014659523
2024-11-30,SPY_US,US,139.28191040816415
2024-12-31,SPY_US,US,138.56168472511538
2025-01-31,SPY_US,US,142.7475284851706
2025-02-28,SPY_US,US,136.0641444882164
2025-03-31,SPY_US,US,138.51774965279313
2025-04-30,SPY_US,US,140.19825642047965
2025-05-31,SPY_US,US,138.40028406735217
2025-06-30,SPY_US,US,133.0882409529333
2025-07-31,SPY_US,US,134.04166983677115
2025-08-31,SPY_US,US,132.58265557927578
2025-09-30,SPY_US,US,134.1710337569181
2025-10-31,SPY_US,US,134.92984667434328
2025-11-30,SPY_US,US,142.08832931407892
2025-12-31,SPY_US,US,141.77848172406235
2016-01-31,QQQ_US,US,97.16245827434784
2016-02-29,QQQ_US,US,98.261957975264
2016-03-31,QQQ_US,US,99.50594361052974
2016-04-30,QQQ_US,US,104.50643469922083
2016-05-31,QQQ_US,US,107.95082790989258
2016-06-30,QQQ_US,US,109.80507174825091
2016-07-31,QQQ_US,US,115.70039574136443
2016-08-31,QQQ_US,US,111.78634613604818
2016-09-30,QQQ_US,US,110.02998135790882
2016-10-31,QQQ_US,US,107.25975584977682
